participant_id,fastq_1,fastq_2,cell_type,day,n_cells,rep
SRR891268,gs://fc-2069b81e-1518-4051-bda8-9f69cedca830/data/SRR891268_1.fastq.gz,gs://fc-2069b81e-1518-4051-bda8-9f69cedca830/data/SRR891268_2.fastq.gz,GM12878,NA,50000,1
SRR891269,gs://fc-2069b81e-1518-4051-bda8-9f69cedca830/data/SRR891269_1.fastq.gz,gs://fc-2069b81e-1518-4051-bda8-9f69cedca830/data/SRR891269_2.fastq.gz,GM12878,NA,50000,2
SRR891270,gs://fc-2069b81e-1518-4051-bda8-9f69cedca830/data/SRR891270_1.fastq.gz,gs://fc-2069b81e-1518-4051-bda8-9f69cedca830/data/SRR891270_2.fastq.gz,GM12878,NA,50000,3
SRR891271,gs://fc-2069b81e-1518-4051-bda8-9f69cedca830/data/SRR891271_1.fastq.gz,gs://fc-2069b81e-1518-4051-bda8-9f69cedca830/data/SRR891271_2.fastq.gz,GM12878,NA,50000,4
SRR891272,gs://fc-2069b81e-1518-4051-bda8-9f69cedca830/data/SRR891272_1.fastq.gz,gs://fc-2069b81e-1518-4051-bda8-9f69cedca830/data/SRR891272_2.fastq.gz,GM12878,NA,500,1
SRR891273,gs://fc-2069b81e-1518-4051-bda8-9f69cedca830/data/SRR891273_1.fastq.gz,gs://fc-2069b81e-1518-4051-bda8-9f69cedca830/data/SRR891273_2.fastq.gz,GM12878,NA,500,2
SRR891274,gs://fc-2069b81e-1518-4051-bda8-9f69cedca830/data/SRR891274_1.fastq.gz,gs://fc-2069b81e-1518-4051-bda8-9f69cedca830/data/SRR891274_2.fastq.gz,GM12878,NA,500,3
SRR891275,gs://fc-2069b81e-1518-4051-bda8-9f69cedca830/data/SRR891275_1.fastq.gz,gs://fc-2069b81e-1518-4051-bda8-9f69cedca830/data/SRR891275_2.fastq.gz,CD4+,Day1,NA,1
SRR891276,gs://fc-2069b81e-1518-4051-bda8-9f69cedca830/data/SRR891276_1.fastq.gz,gs://fc-2069b81e-1518-4051-bda8-9f69cedca830/data/SRR891276_2.fastq.gz,CD4+,Day1,NA,2
SRR891277,gs://fc-2069b81e-1518-4051-bda8-9f69cedca830/data/SRR891277_1.fastq.gz,gs://fc-2069b81e-1518-4051-bda8-9f69cedca830/data/SRR891277_2.fastq.gz,CD4+,Day2,NA,1
SRR891278,gs://fc-2069b81e-1518-4051-bda8-9f69cedca830/data/SRR891278_1.fastq.gz,gs://fc-2069b81e-1518-4051-bda8-9f69cedca830/data/SRR891278_2.fastq.gz,CD4+,Day2,NA,2
SRR891279,gs://fc-2069b81e-1518-4051-bda8-9f69cedca830/data/SRR891279_1.fastq.gz,gs://fc-2069b81e-1518-4051-bda8-9f69cedca830/data/SRR891279_2.fastq.gz,CD4+,Day3,NA,1
SRR891280,gs://fc-2069b81e-1518-4051-bda8-9f69cedca830/data/SRR891280_1.fastq.gz,gs://fc-2069b81e-1518-4051-bda8-9f69cedca830/data/SRR891280_2.fastq.gz,CD4+,Day3,NA,2